english,mandarin,pinyin
Do you know who invents the compass?,?????????????,ni zhi dào shì shéi fa míng de zhi nán zhen ma?
The moon is shining (through the window).,??(????)????.,yuè guang( tong guò chuang hu) zhào le jìn lái.
The channel of such a current.,??????????????,tuan jí de shui dào zhè yàng yi gu shui liú de qú dào
"Her face wore a grim, set look.",???????? ?????.,ta lian shàng xian chu yán lì?  mù rán de shén qíng.
Several fields are under water after the heavy rain.,???????????.,dà yu guò? you ji piàn geng dì bèi yan.
A bullet whizzed past my ear.,???????????????,yi ke zi dàn? de yi sheng zòng wo er bian fei guò?
Her temperature is above/below normal.,??????[??]????.,ta de ti wen gao yu[ di yu] zhèng cháng biao zhun.
Having a tendency to confide; trusting.,?????????;???,qing xìn de you xìn lài qing xiàng de; xìn rèn de
Fish can survive for only a short time out of water.,???????????.,yú lí kai shui? huó de shí jian hen duan.
In or into the inner part; inside.,?…????????;???,zài… zhi nèi zài huò jìn rù li miàn; zài nèi bù
His character/reputation is without (a) blemish.,????[??]?????.,ta zài pin dé[ míng yù] shàng háo wú xiá ci.
`Pass water' is a euphemism for `urinate'.,`??'?`??'????.,` xiao biàn' shì` pai sui' de wei wan yu.
Sam bent his brows upon hearing the news.,?????????????,sà mu tìng le zhè xiao xi hòu jin zhòu méi tóu?
Ebony is a hard black wood.,???????????????,hei tán shù shì yi zhòng hei sè ér jian yìng de shù mù?
Can you think sugar will substitute for honey?,?????????????,ni rèn wéi sha táng ke yi tì dài feng mì ma?
Lacking strength or vigor; weak.,???????????;???,shuai ruò de que fá lì qi huò huó lì de; xu ruò de
Her hair hung down her back to her waist.,?????????????.,ta de zhang fà pi zài? bèi zhí chuí dào yao jiàn.
Some Indians still live in wigwams.,??????????????,you xie yìn de an rén réng rán zhù zài zhàng peng li?
I was amazed at the extent of his knowledge.,?????????????,wo duì ta zhi shi de yuan bó gan dào jing qí?
He said."He's exactly like a huge fan.",“????????”,???,“ ta jiù xiàng yi ba dà shan zi”, ta shuo?
These policemen wear helmets to protect them.,?????????????,zhè xie jing chá dài zhuó tou kui bao hù zì ji?
Do you know all the possible moves in chess?,??????????????,guó jì xiàng qí de gè zhong zou fa ni du huì ma?
A secondary matter; a side issue.,????????;??????,cì yào de dì èr wèi de shì; jiào cì yào de wèn tí
How can you bear to read such pap!,??????????????!,zhè yàng wú liáo de dú wù ni zen néng kàn de xià qu!
A means of catching or ensnaring; a trap.,??????????;??,xiàn jing bu zhuo huò yòu bu de fang shì; juan tào
The whale dived as the harpoon struck it.,????????????.,jing yú bèi yú cha shè zhòng? qián rù shui zhòng.
"Look, the pavilion is high in the sky.",?,????????????,?, nà tíng zi gao gao dì lì zài kong zhong ne?
He was very lonely at first when he moved to London.,???????????.,ta dang chu gang dào lún dun shí hen gu dan.
Paying my mortgage was an enormous weight off my mind!,"???????, ????!","wo huán le di yá jiè kuan,  rú shì zhòng fù!"
Can we remit our profit to foreign countries?,?????????????,wo men néng pi jiàng lì rùn huì jì dào guó wài?
Can you tell me how much you earn a month?,??????????????,ni néng gào su wo ni yi gè yuè zuàn duo shao ma?
The balloon descended gradually as the air came out.,???????????.,qì qiú kong qì wài yì ér huan huan xià jiàng.
The clear water mirrored the blue sky.,?????????????,qing chè de shui zhòng yìng chu wèi lán de tian kong?
Do the firm's accounts balance?,??????????????,zhè jia gong si de zhàng mù shou zhi shì fou píng héng?
Hasty and unthinking; impetuous.,???????????;???,jí zào de cang cù ér bù jia si suo de; chong dòng de
She does Mrs. Thatcher rather well.,???????????????,ta xué sa qiè er fu ren de yàng zi dào ting xiàng li?
The birch has smooth bark and slender branches.,?????????????,huà shù you guang hua de pí huò xì cháng de zhi?
The thief slipped out (by the back door).,?????(???)????.,nèi gè zéi tou tou( zòng? mén) liu chu qù le.
Do you know the locations of the British Isles?,?????????????,ni zhi dào bù liè dian qún dao de wèi zhi ma?
A whale is no less a mammal than a horse is.,?????????????,jing yú huò ma yí yàng dou shì bu ru dòng wù?
A twist of fate; a story with a quirky twist.,?????;???????,mìng yùn de niu zhuan; die dàng qi fú de gù shì
Our journey ended without (further) mishap.,?????(??)????.,wo men de lu:3 chéng(? lái) yi lù píng an.
I let (out) my spare rooms (to lodgers).,?????????(???).,wo ba duo yú de fáng jian chu zu( ji fáng kè).
I've been on the run all day and I'm exhausted.,???????,?????,wo zheng tian máng gè bù tíng, pí yu ben mìng?
Do he paint this tractor red?,???????????????,ta shì fou ba zhè tái tuo la ji qi chéng le hóng sè?
Are the Hawaiian Islands a dependence of the USA?,?????????????,xià wei yí qún dao shì Mei guó de shu dì ma?
How much chilli did you put in the curry?,??????????????,ni zài ga lí shí pin zhòng fàng le duo shao là jiao?
The Thames rises in the Cotswold Hills.,??????????????.,tài wù shì hé fà yuán yu ke cí wò er dé qiu líng.
The birch has smooth bark and slender branches.,?????????????,huà shù you guang hua de pí huò xì cháng de zhi?
The essential function or nature of a thing.,?????????????,ben zhì shì wù de ben zhì? gong néng huò xìng zhì
"Instead of admit his guilt, he prevaricate.",??????,???????,ta bù dàn bù chéng rèn, fan ér zhi wú qí cí?
Are there set hours of work in your company?,??????????????,ni men gong si you gù dìng de bàn gong shí jian ma?
The dealer was slavering over some precious stones.,????????????.,nà shang rén duì yi xie bao shí chuí xián yù di.
The notice said Keep off (ie Do not walk on) the grass'.,??????`????'.,bù gào pái shàng xie?` wù tà cao dì'.
He's an awkward/queer old cuss.,????????[?????]??.,ta shì gè bèn shou bèn jué de[ gu li gu guài de] jia huo.
Clint Eastwood's trademark is his squint.,???????????????,kè lín yi si wei tè de tè zhi shì ta mi mi yan?
The novel is set in pre-war London.,??????????????,zhè bù xiao shuo yi zhàn qián de lún dun wèi bèi jing?
The bus toiled up the steep hill.,??????????????.,gong gòng qì che jian nán de pá shàng dou qiào de shan gang.
The dining-car was coupled on (to the last coach).,????(?????)?.,can che yi guà( zài mò jié che xiang) shàng.
He was hard put (to it) to explain her disappearance.,????????????.,ta nán yi shuo míng ta wèi shí mó bù jiàn le.
Rembrandt's paintings show the cachet of genius.,????????????.,lún bó lang de huì huà shì tian cái de xiàng zheng.
She attacked him with a torrent of abuse.,??????????????,ta yòng lián zhu pào sì de màn mà lái gong ji ta?
There grows some spongy moss on the stone.,?????????????,shí tou shàng zhang zhuó yi xie róu ruan de tái xian?
Which is the right side of the cloth (ie the one intended to be seen)?,??????????,zhè kuài bù nei yi miàn shì zhèng miàn?
How can I get the dirt off the walls?,???????????????,wo zen yàng cái néng ba qiáng shàng de wu gòu qù diào ne?
Concealed from the public; private.,???,????????;???,mù hòu de, mì mì de yin mán gong zhòng de; si xià de
Excessively concerned with something; distracted.,???????;?????,guò fèn guan zhù mou shì de; xin bù zài yan de
Bats fly at night and feed on insects.,???????,??????,bian fú zài yè jian fei xíng, yi kun chóng wèi sì?
He has come all the way from Leeds to look for a job.,????????????.,ta zòng lì zi yuan dào ér lái xún zhao gong zuò.
He's a bit slow but in the end he latches on.,"?????, ???????.","ta you dian chí dùn,  dàn bì jìng huán néng li jie."
Prevention is better than cure.,??????(??????)?,yù fáng shèng yú zhì liáo( zhì bìng bù rú fáng bìng)?
The pith of that theory is serving for people.,??????????????,nèi gè li lùn de jing sui shì wèi rén mín fú wù?
A blow behind the ear stretched him on the floor.,??????????????,er? de yi ji shi ta pa dào zài dì ban shàng?
A mold in which such metal is cast.,???????????????,jin shu zhù mó jin shu dìng zài qí zhong bèi zhù de mó zi
Lotus flowers are in full bloom in the pond in summer.,??????,?????,xià jì de shui táng zhòng, fú róng shèng kai?
The dealer was slavering over some precious stones.,????????????.,nà shang rén duì yi xie bao shí chuí xián yù di.
He's an awkward/queer old cuss.,????????[?????]??.,ta shì gè bèn shou bèn jué de[ gu li gu guài de] jia huo.
When he became rich he threw over all his old friends.,?????????????.,ta fa cái zhi? ba lao péng you dou pao qì le.
Trees shed their leaves and flowers shed their petals.,???????? ????.,dào shí hòu shù jiù luò yè?  hua jiù diào bàn.
How long can you stare without blinking your eyes?,?????????????,ni néng dèng zhuó kàn duo zhang shí jian bù zha yan?
Our car stalled on the brow of a steep hill.,??????????????.,wo men de qì che zài shan ding dou po chù pao máo le.
The firm publishes its accounts in August.,?????????????.,gai shang xìng yu ba yuè fèn gong bù kuài jì zhàng mù.
"Director Liu, in the chair, opened the meeting.",???????,?????,liú chang zhang zhu chí huì yì, xuan bù kai huì?
"I have found you out at last, you cheat!",????????,?????!,wo zong suàn ba ni kàn tòu le, ni zhè gè piàn zi!
The essence of all good strategy is simplicity.,?????????????,yi qiè you xiù zhàn lu:è de jing sui shì jian dan?
Epidurals are now often used during childbirth.,????????????.,xiàn zài fen mian shí cháng yòng yìng mó wài zhù shè.
Many kinds of squirrels are easy to tame.,??????????????,hen duo zhong lèi de song shu dou hen róng yì xún yang?
Down the sable flood they glided.,???????????????,ta men zài hei you you de hóng shui zhòng suí bo zhú liú?
She feels wearisome by the constant noise.,???????????????,ta hen yàn fán nà xie mò wán mò le de cáo zá sheng?
Practice Tests For College English Vocabulary,<???????????>?,< dà xué Ying yu cí huì zong hé cè shì tí>?
The street lights come on at dusk and go off at dawn.,"???????, ????.","lù deng zài huáng hun shí kai,  fú xiao shí guan."
Her skin is still as smooth as a baby's bottom.,??????????? ??.,ta de pí fu réng rán shí fen róu ruan?  guang hua.
Touch your toes without bending your knees.,"????????, ?????.","yòng shou gòu dào ni de jiao zhi,  xi gài biè wan qu."
Ancient Rome subjected most of Europe (to its rule).,?????????????.,gu Luó ma dì guó zheng fú le ou zhou dà bù fen.
They enlisted four hundred recruits for the navy.,?????????????.,ta men wèi hai jun zhi mù le sì bai míng xin bing.
Tending to cause death; deadly.,???;?????????;???,zhì mìng de; zhì si de yì yin qi si wáng de; zhì mìng de
Christmas commemorates the birth of Christ.,??????????????,Shèng dàn jié shì wèi le jì niàn ye su de dàn sheng?
That excuse simply won't wash (with me).,????(??)??????.,zhè zhong jiè kou( ràng wo) shí zài wú fa xiang xìn.
"Something that restrains, blocks, or suppresses.",??????????????,yì zhì wù xiàn zhì? zu zhi huò ya zhì de dong xi
When the river burst its banks the fields were inundated.,"?????, ???????.","hé àn jué di?,  tián dì zao hóng shui yan mò."
Do you know why she is so strange to him?,???????????????,ni zhi dào ta wèi shén me duì ta rú ci leng dàn ma?
The climber had to cling onto the cliff.,???????????????,nà pan deng zhe bù dé bù jin pá zhuó xuán yá qiào bì?
Musk is a kind of strong-smelling substance.,??????????????,shè xiang shì yi zhòng you qiáng liè qì wèi de wù zhì?
Floating objects or material; flotsam.,???????????;???,piao fú wù piao fú de wù pin huò cái liào; piao fú wù
A through bus; a through ticket.,?????????;?????,yi liàng zhí dá de gong gòng qì che; yi zhang zhí tong piào
The device will be in production by the end of the year.,???????????.,gai zhuang zhì jiàng yu nián di tóu rù sheng chan.
The bombing raid practically leveled the town.,??????????????,kong xí ji hu ba zhè zuò chéng zhèn yí wèi píng dì?
The whole crowd took up the cry: `Long live the King!',??????: `????!',rén men qí sheng huan hu: ` guó wáng wàn suì!'
A good healthy body is worth more a crown in gold.,?????????????,jiàn quán de shen ti bì jin mian gèng you jià zhí?
"A sudden, violent disturbance of the mind.",???????????????,nao cù biàn zhì lì de tu rán de? jù liè de bìng biàn
The sway of the pail cause some milk to spill out.,??????????????,tong de yáo huàng shi yi xie niú nai yì le chu lai?
Cowards die many times before their death.,???????????????,nuò fu yi sheng yào jing guò xu duo cì si de tòng ku?
Don't confuse Austria and/with Australia.,???????????????.,bù yào ba ào de lì gen ào dà lì yà nòng hùn xiáo le.
The petals of many flowers expand in the sunshine.,?????????????,xu duo hua de hua bàn zài yáng guang zhòng zhàn fàng?
What form of address should one use when writing to a bishop?,????????????,ji zhu jiào xie xìn ying gai zen yàng cheng hu?
"Don't shuffle, give me a clear answer.",?????,??????????,biè zhi zhi wú wú, ji wo yi gè míng què de dá fù?
They had to ransom the kidnapped diplomat.,???????????????,ta men bù dé bù shú huí bèi bang jià de wài jiao guan?
